
S. No.,State,District,Location,Longitude,Latitude,Year,pH,EC (µS/cm at),CO3 (mg/L),HCO3,Cl (mg/L),F (mg/L),SO4,NO3,PO4,Total Hardness,Ca (mg/L),Mg (mg/L),Na (mg/L),K (mg/L),Fe (ppm),As (ppb),U (ppb)
8792,Uttar Pradesh,Siddharth Nagar,Sishoniya,82.9975,27.1511,2023,7.82,779,0,451,14,0.36,5,0,0.00,260,60,26,65,2,1.16,4.91,0.00
8793,Uttar Pradesh,Siddharth Nagar,Bhaluani,82.8742,27.2778,2023,7.94,563,0,342,7,0.00,0,10,0.00,240,72,14,21,3,0.41,4.51,0.00
8794,Uttar Pradesh,Siddharth Nagar,Block Office,82.7567,27.2789,2023,8.04,686,0,415,14,0.34,0,0,0.00,300,72,29,32,3,0.00,1.00,0.00
8795,Uttar Pradesh,Siddharth Nagar,Block Office,83.2417,27.2900,2023,8.03,528,0,342,7,0.22,0,0,0.00,190,60,10,46,2,1.23,2.00,8.00
8796,Uttar Pradesh,Siddharth Nagar,Block Office,82.9156,27.1639,2023,8.12,494,0,293,14,0.00,0,0,0.00,230,56,22,16,2,0.36,1.00,0.00
8797,Uttar Pradesh,Siddharth Nagar,Block Office,83.0844,27.2706,2023,7.75,708,0,403,28,0.26,5,0,0.00,300,56,38,38,3,0.44,0.00,15.00
8798,Uttar Pradesh,Siddharth Nagar,Block Office,82.9550,27.3817,2023,8.04,509,0,293,7,0.44,6,0,0.00,220,64,14,20,3,1.75,0.00,0.00
8799,Uttar Pradesh,Siddharth Nagar,Block Office,83.1153,27.1956,2023,7.78,537,0,317,21,0.00,5,0,0.00,210,52,19,35,4,19.40,3.00,0.00
8800,Uttar Pradesh,Siddharth Nagar,"Baiduhi Kala, Near Small Pulia And 3",82.8984,27.1692,2023,7.82,611,0,366,14,0.70,5,0,0.00,250,56,26,36,3,0.87,2.38,8.62
8801,Uttar Pradesh,Siddharth Nagar,"Basalatpur, Rhs On Birdpur To Chiliya",83.0929,27.3727,2023,7.76,560,0,329,14,0.60,5,0,0.00,243,47,30,21,8,0.00,0.00,3.46
8802,Uttar Pradesh,Siddharth Nagar,"Bharaul, Near Indian Oil Petrol Pump",82.8000,27.4616,2023,7.75,588,0,342,14,0.76,8,0,0.00,250,66,20,27,2,0.00,0.00,4.26
8803,Uttar Pradesh,Siddharth Nagar,Campus Of Pwd Barhni,82.7840,27.4972,2023,7.24,1315,0,598,78,0.49,55,0,0.00,440,140,22,107,2,1.53,8.56,0.00
8804,Uttar Pradesh,Siddharth Nagar,"Dearia, Near House Of Shri Girdhari",82.9550,27.1275,2023,7.88,686,0,415,14,0.53,5,0,0.00,295,72,28,24,4,1.55,1.00,0.00
8805,Uttar Pradesh,Siddharth Nagar,Garuar Kothi,82.7693,27.4895,2023,7.87,921,0,537,14,0.74,41,0,0.00,150,36,14,160,2,0.00,0.00,11.05
8806,Uttar Pradesh,Siddharth Nagar,"Harnampur More, Near Durga Mandir,",83.1205,27.3881,2023,7.79,692,0,415,14,0.85,10,0,0.00,200,40,24,81,1,0.00,0.00,4.26
8807,Uttar Pradesh,Siddharth Nagar,In The Campus Of Gyan Uday Vidya,82.9902,27.2731,2023,7.73,570,0,354,7,0.88,11,0,0.00,260,48,34,21,2,0.22,0.00,3.72
8808,Uttar Pradesh,Siddharth Nagar,"Karaudha, On Bansi To Naugarh",83.0303,27.2683,2023,7.74,542,0,329,14,0.42,0,0,0.00,210,4,48,38,3,1.04,3.25,0.00
8809,Uttar Pradesh,Siddharth Nagar,"Madhubany Chauraha, Near House",83.0920,27.3402,2023,7.45,920,0,390,85,0.27,27,10,0.00,320,79,29,77,3,0.00,0.00,0.00
8810,Uttar Pradesh,Siddharth Nagar,"Pathkauli Market, Near Hp Petrol",82.9561,27.1743,2023,7.69,448,0,256,14,0.29,6,0,0.00,220,64,14,8,1,0.63,9.67,0.00
8811,Uttar Pradesh,Siddharth Nagar,Rohnihwa,82.8442,27.4729,2023,7.55,1023,0,427,57,0.78,61,80,0.00,500,100,60,30,2,0.00,0.00,13.29
8812,Uttar Pradesh,Siddharth Nagar,Sajni Village,83.0409,27.2518,2023,7.64,711,0,439,21,0.35,0,0,0.00,260,48,34,59,5,3.76,0.00,12.50
8813,Uttar Pradesh,Siddharth Nagar,Shonkhar Chauraha Near Aara Mil.,82.9489,27.2019,2023,7.97,939,0,549,14,0.76,14,0,0.00,140,36,12,160,2,1.51,5.34,0.00
8814,Uttar Pradesh,Siddharth Nagar,"Shri Ramneresh Yadav House,",83.1454,27.3562,2023,7.47,1050,0,354,128,0.41,37,0,0.00,351,83,35,74,1,0.07,1.48,14.62
8815,Uttar Pradesh,Siddharth Nagar,,82.9981,27.2383,2023,7.65,628,0,403,7,0.41,0,0,0.00,280,68,26,27,2,0.00,0.00,5.21
8816,Uttar Pradesh,Sitapur,Block Office,80.6530,27.6777,2023,7.70,1041,0,366,85,0.64,43,39,0.00,390,76,48,41,36,0.20,0.00,5.00
8817,Uttar Pradesh,Sitapur,Block Office,81.1436,27.7304,2023,7.97,620,0,366,7,0.11,18,0,0.00,270,60,29,31,5,0.32,0.00,0.00
8818,Uttar Pradesh,Sitapur,Erapur,81.0222,27.7364,2023,7.75,779,0,439,21,0.15,36,0,0.00,290,96,12,58,3,1.34,2.89,0.00
8819,Uttar Pradesh,Sitapur,Block Office,80.9915,27.4843,2023,7.81,638,0,403,7,0.25,6,0,0.00,315,80,28,16,3,1.01,0.00,0.00
8820,Uttar Pradesh,Sitapur,Block Office,80.6526,27.3486,2023,7.89,751,0,439,14,0.62,14,0,0.00,350,64,46,28,5,1.56,0.00,6.00
8821,Uttar Pradesh,Sitapur,Karanpur,80.6178,27.3750,2023,7.91,658,0,354,21,0.91,27,14,0.00,320,68,36,15,5,0.12,0.00,3.16
8822,Uttar Pradesh,Sitapur,Block Office,80.7282,27.7667,2023,7.82,673,0,366,28,0.48,12,0,0.00,330,72,36,15,5,0.45,0.00,0.00
8823,Uttar Pradesh,Sitapur,Sekhwapur,80.7783,27.7639,2023,7.81,840,0,500,14,0.76,24,0,0.00,330,72,36,59,5,1.10,0.00,9.72
8824,Uttar Pradesh,Sitapur,Block Office,80.8179,27.3862,2023,7.88,624,0,348,14,0.52,25,0,0.00,325,68,37,5,4,0.00,0.00,0.00
8825,Uttar Pradesh,Sitapur,Block Office,80.7475,27.5333,2023,7.96,723,0,427,14,1.22,9,0,0.00,305,52,42,39,5,1.60,0.00,0.00
8826,Uttar Pradesh,Sitapur,Saraiya Sani,80.8267,27.5228,2023,7.79,782,0,397,57,0.17,20,0,0.00,315,60,40,45,5,0.12,0.00,5.44
8827,Uttar Pradesh,Sitapur,Block Office,80.8940,27.7201,2023,7.85,651,0,336,28,0.00,16,0,0.00,285,96,11,27,5,3.69,2.00,0.00
8828,Uttar Pradesh,Sitapur,Block Office,80.6436,27.4223,2023,7.99,818,0,403,57,0.41,22,6,0.00,330,80,31,53,5,0.00,0.00,3.00
8829,Uttar Pradesh,Sitapur,Sadila,80.5844,27.4725,2023,7.71,610,0,372,14,0.52,0,0,0.00,260,64,24,23,4,0.37,0.00,3.39
8830,Uttar Pradesh,Sitapur,Block Office,81.1235,27.3034,2023,7.86,656,0,305,43,0.23,23,0,0.00,305,76,28,19,5,0.06,0.00,0.00
8831,Uttar Pradesh,Sitapur,Bahoranpur,81.2325,27.3717,2023,7.55,918,0,427,71,0.00,41,0,0.00,345,92,28,70,7,4.87,2.19,0.00
8832,Uttar Pradesh,Sitapur,Block Office,80.5340,27.4433,2023,7.91,782,0,409,28,0.34,26,0,0.00,295,64,32,56,5,0.25,0.00,5.00
8833,Uttar Pradesh,Sitapur,Nimsar,80.4847,27.3447,2023,7.71,438,0,220,7,0.14,9,10,0.00,165,40,16,15,3,0.07,1.75,3.75
8834,Uttar Pradesh,Sitapur,Block Office,80.4725,27.6646,2023,7.73,770,0,427,21,0.00,18,18,0.00,360,60,50,28,4,0.28,0.00,5.00
8835,Uttar Pradesh,Sitapur,Kanchanpur,81.0450,27.4111,2023,8.04,358,0,171,14,0.44,22,0,0.00,160,40,14,7,3,0.07,1.62,3.86
8836,Uttar Pradesh,Sitapur,Block Office,81.0618,27.3732,2023,7.91,545,0,317,14,0.00,10,0,0.00,260,80,14,17,3,2.01,2.00,0.00
8837,Uttar Pradesh,Sitapur,Block Office,80.8428,27.5803,2023,7.92,630,0,378,21,0.65,5,0,0.00,270,72,22,31,4,0.35,3.00,5.00
8838,Uttar Pradesh,Sitapur,Kasrela,80.7975,27.5936,2023,7.82,515,0,305,14,0.34,0,0,0.00,210,48,22,25,4,0.15,0.00,3.44
8839,Uttar Pradesh,Sitapur,Block Office,80.4026,27.5886,2023,7.95,601,0,348,14,0.13,17,0,0.00,255,68,20,33,5,0.93,0.00,3.00
8840,Uttar Pradesh,Sitapur,Block Office,81.3179,27.3637,2023,7.78,549,0,293,14,0.13,19,0,0.00,250,76,14,19,4,0.54,7.00,0.00
8841,Uttar Pradesh,Sitapur,Block Office,81.2106,27.5486,2023,7.72,870,0,476,28,0.31,21,0,0.00,320,92,22,70,4,1.68,5.00,0.00
8842,Uttar Pradesh,Sitapur,Block Office,81.0601,27.5731,2023,7.86,835,0,409,39,0.23,21,0,0.00,300,68,31,60,5,1.50,6.00,0.00
8843,Uttar Pradesh,Sitapur,Palhari,81.1422,27.5389,2023,7.90,681,0,415,14,0.31,11,0,0.00,190,48,17,83,5,0.21,0.00,0.00
8844,Uttar Pradesh,Sitapur,Block Office,80.8295,27.2829,2023,7.74,1135,0,537,64,0.16,36,35,0.00,490,96,60,59,6,0.31,0.00,10.00
8845,Uttar Pradesh,Sitapur,Jallabad,80.8267,27.2381,2023,7.95,619,0,354,14,0.31,13,0,0.00,260,60,26,31,4,0.12,0.00,5.44
8846,Uttar Pradesh,Sonbhadra,Block Office,82.7967,24.2050,2023,7.76,574,0,153,50,0.70,53,36,0.00,210,52,19,32,1,0.15,5.00,0.00
8847,Uttar Pradesh,Sonbhadra,Block Office,83.1502,23.9008,2023,7.80,555,0,220,28,0.60,31,22,0.00,200,40,24,33,0,0.55,0.00,0.00
8848,Uttar Pradesh,Sonbhadra,Adhoura,83.0348,23.9111,2023,7.84,425,0,207,14,1.95,22,10,0.00,110,36,5,54,2,0.85,0.00,403.18
8849,Uttar Pradesh,Sonbhadra,Adhoura,83.1093,23.9237,2023,7.93,521,0,244,14,1.07,33,21,0.00,210,48,22,29,2,0.00,0.00,0.00
8850,Uttar Pradesh,Sonbhadra,Babhani,83.0769,23.9503,2023,7.70,670,0,244,50,1.45,60,5,0.00,220,60,17,53,4,0.00,0.00,9.00
8851,Uttar Pradesh,Sonbhadra,Mohua Dohar,82.9168,23.9096,2023,7.77,726,0,366,28,1.90,38,21,0.00,170,20,29,108,0,0.35,0.00,44.35
8852,Uttar Pradesh,Sonbhadra,Karawndia,83.2524,24.6410,2023,7.81,480,0,268,14,0.44,0,7,0.00,190,56,12,25,0,0.00,0.00,0.00
8853,Uttar Pradesh,Sonbhadra,Bharahari,82.9187,24.5895,2023,7.53,475,0,293,7,0.33,5,8,0.00,180,40,19,39,0,0.07,0.00,0.00
8854,Uttar Pradesh,Sonbhadra,Chikradhawd,83.1039,24.3492,2023,7.73,388,0,171,21,0.29,18,10,0.00,110,36,5,38,0,2.61,0.00,0.00
8855,Uttar Pradesh,Sonbhadra,Chopan,83.0231,24.5133,2023,8.00,686,0,293,43,1.08,43,0,0.00,210,60,14,61,0,8.43,0.00,0.00
8856,Uttar Pradesh,Sonbhadra,Guradah,82.9390,24.6044,2023,7.57,650,0,378,14,0.56,13,12,0.00,305,44,47,22,0,0.25,0.00,3.03
8857,Uttar Pradesh,Sonbhadra,Judwani Panari,83.0216,24.3550,2023,7.66,292,0,134,21,0.26,0,10,0.00,100,24,10,22,0,0.00,0.00,0.00
8858,Uttar Pradesh,Sonbhadra,Nivarhi,82.8182,24.5577,2023,8.01,466,0,256,14,0.45,14,7,0.00,210,32,31,16,1,0.00,0.00,0.00
8859,Uttar Pradesh,Sonbhadra,Thari,82.8258,24.4473,2023,7.85,492,0,256,21,0.25,12,0,0.00,190,28,29,27,4,0.00,0.00,0.00
8860,Uttar Pradesh,Sonbhadra,Vilemar Kundi,83.0186,24.4545,2023,7.66,707,0,305,50,0.33,40,15,0.00,320,40,53,23,0,0.00,0.00,0.00
8861,Uttar Pradesh,Sonbhadra,Ashram Mod,83.1171,24.1731,2023,7.71,921,0,427,50,0.68,41,20,0.00,160,20,26,146,3,0.33,0.00,0.00
8862,Uttar Pradesh,Sonbhadra,Birar,83.2184,24.2345,2023,7.71,568,0,238,21,0.61,10,82,0.00,150,44,10,70,0,0.27,0.00,0.00
8863,Uttar Pradesh,Sonbhadra,Navgai,83.1234,24.2653,2023,7.68,318,0,134,14,0.29,14,21,0.00,90,24,7,31,0,0.06,0.00,0.00
8864,Uttar Pradesh,Sonbhadra,Duter,82.9753,24.7159,2023,7.90,854,0,354,85,0.68,27,9,0.00,330,48,50,52,0,0.37,0.00,4.34
8865,Uttar Pradesh,Sonbhadra,Ghorawal,82.8436,24.7494,2023,8.01,1661,0,415,227,0.34,47,93,0.00,550,180,24,106,5,0.08,3.00,5.00
8866,Uttar Pradesh,Sonbhadra,Block Office,82.8444,24.7494,2023,7.70,1505,0,390,213,1.08,49,65,0.00,500,136,38,99,7,0.32,1.00,6.00
8867,Uttar Pradesh,Sonbhadra,Sisiriya,82.9637,24.8546,2023,7.83,551,0,342,7,0.45,0,10,0.00,170,48,12,60,1,0.00,0.00,0.00
8868,Uttar Pradesh,Sonbhadra,Harvaria,83.3744,24.3483,2023,7.78,590,0,293,28,1.16,27,16,0.00,150,32,17,81,2,1.01,0.00,13.12
8869,Uttar Pradesh,Sonbhadra,Joru Khar,83.3170,24.2465,2023,7.85,824,0,403,43,1.44,34,18,0.00,170,40,17,123,2,0.14,0.00,16.04
8870,Uttar Pradesh,Sonbhadra,Murkatti,83.2186,24.3522,2023,7.84,548,0,281,14,0.38,16,27,0.00,170,52,10,54,0,0.67,0.00,11.05
8871,Uttar Pradesh,Sonbhadra,Naudiha,83.2709,24.4414,2023,8.10,590,0,317,14,0.51,0,9,0.00,195,56,13,46,1,1.14,0.00,0.00
8872,Uttar Pradesh,Sonbhadra,Padrach,83.1543,24.4479,2023,7.82,643,0,329,21,0.33,27,7,0.00,190,32,26,66,1,13.26,0.00,0.00
8873,Uttar Pradesh,Sonbhadra,Rogahi,83.2029,24.4438,2023,7.95,797,0,464,14,1.70,26,0,0.00,275,40,42,75,0,0.06,1.54,9.81
8874,Uttar Pradesh,Sonbhadra,Baina,83.2147,24.0034,2023,7.93,945,0,354,57,0.90,61,43,0.00,370,64,50,45,5,0.16,0.00,10.71
8875,Uttar Pradesh,Sonbhadra,Chak Chapki,83.0109,23.9786,2023,7.67,424,0,159,21,0.78,60,9,0.00,170,56,7,26,0,7.67,0.00,0.00
8876,Uttar Pradesh,Sonbhadra,Dewri,83.0173,24.0842,2023,7.67,674,0,195,35,1.28,51,92,0.00,260,56,29,35,2,0.00,0.00,4.30
8877,Uttar Pradesh,Sonbhadra,Duki Nala,83.0202,24.2647,2023,7.73,443,0,146,21,0.32,26,64,0.00,155,44,11,34,0,0.00,0.00,0.00
8878,Uttar Pradesh,Sonbhadra,Liladewa,82.9402,23.9928,2023,7.84,576,0,305,21,1.55,14,12,0.00,180,32,24,57,5,7.68,0.00,0.00
8879,Uttar Pradesh,Sonbhadra,Lovuhan,83.1156,24.0829,2023,7.87,496,0,256,14,2.05,21,14,0.00,150,52,5,54,0,0.00,0.00,0.00
8880,Uttar Pradesh,Sonbhadra,Nakkhu,82.8265,24.0055,2023,7.82,502,0,293,14,1.50,7,5,0.00,170,44,14,47,2,1.85,0.00,5.94
8881,Uttar Pradesh,Sonbhadra,Nodiya,83.2139,24.0815,2023,8.11,1326,0,537,64,1.95,91,103,0.00,530,60,91,84,3,0.00,1.75,22.51
8882,Uttar Pradesh,Sonbhadra,Cherue,83.1298,24.5498,2023,7.82,601,0,275,57,0.17,0,11,0.00,290,44,43,12,1,0.00,0.00,0.00
8883,Uttar Pradesh,Sonbhadra,Dhobi,83.4537,24.7098,2023,7.61,229,0,73,28,0.00,6,20,0.00,90,24,7,14,2,2.86,0.00,16.54
8884,Uttar Pradesh,Sonbhadra,Keotam,83.3261,24.6212,2023,7.92,341,0,159,21,0.13,17,9,0.00,155,32,18,12,4,5.17,0.00,0.00
8885,Uttar Pradesh,Sonbhadra,Kodai,83.2217,24.5327,2023,7.80,223,0,128,7,0.24,0,0,0.00,80,24,5,18,2,4.90,0.00,0.00
8886,Uttar Pradesh,Sonbhadra,Madpa,83.5096,24.6186,2023,8.14,549,0,268,35,0.35,10,23,0.00,175,40,18,57,0,2.61,0.00,0.00
8887,Uttar Pradesh,Sonbhadra,Majuhi,83.4208,24.6199,2023,7.43,148,0,73,14,0.00,0,0,0.00,60,16,5,9,1,0.95,0.00,0.00
8888,Uttar Pradesh,Sonbhadra,Block Office,83.0355,24.2196,2023,7.60,1050,0,317,128,1.00,52,11,0.00,330,72,36,80,1,0.00,0.00,14.00
8889,Uttar Pradesh,Sonbhadra,Baluee,83.0336,24.6146,2023,7.79,428,0,195,28,0.42,13,22,0.00,130,40,7,46,0,0.00,0.00,0.00
8890,Uttar Pradesh,Sonbhadra,Jigna,83.1266,24.7320,2023,7.90,587,0,323,21,0.58,8,25,0.00,230,56,22,42,0,0.00,0.00,4.35
8891,Uttar Pradesh,Sonbhadra,Robertsganj,83.0586,24.6564,2023,7.70,754,0,305,85,1.00,0,0,0.00,220,48,24,71,0,10.04,0.00,0.00
8892,Uttar Pradesh,Sonbhadra,Block Office,83.0495,24.6467,2023,8.05,455,0,232,21,0.90,6,0,0.00,120,28,12,48,1,0.21,0.00,0.00
8893,Uttar Pradesh,Sultanpur,At Tiraa Dostpur- Akhand Nagar,82.5794,26.2030,2023,8.13,732,0,415,7,0.44,8,0,0.00,290,36,48,30,4,0.36,0.00,3.00
8894,Uttar Pradesh,Sultanpur,"Mangal Nagar, Kunda Bhairopur",82.5609,26.2728,2023,7.99,599,0,317,21,0.56,7,0,0.00,240,32,38,26,3,0.23,0.00,13.85
8895,Uttar Pradesh,Sultanpur,Block Offc.,82.4665,26.2700,2023,7.80,917,0,488,21,0.36,22,0,0.00,310,36,53,66,3,0.29,0.00,45.00
8896,Uttar Pradesh,Sultanpur,Block Offc.,82.0361,26.2388,2023,7.76,699,0,403,7,0.67,9,0,0.00,310,48,46,16,4,0.05,1.00,13.00
8897,Uttar Pradesh,Sultanpur,Hiyatnagar Kabra,82.1533,26.2688,2023,7.72,535,0,305,7,0.38,0,5,0.00,220,48,24,20,4,0.15,0.00,8.47
8898,Uttar Pradesh,Sultanpur,Jaisinghpur Sonupara,82.2917,26.3971,2023,8.12,499,0,281,7,0.33,9,0,0.00,210,44,24,17,3,0.68,0.00,5.88
8899,Uttar Pradesh,Sultanpur,Block Office,82.2473,26.2811,2023,8.01,561,0,293,14,0.75,12,0,0.00,240,44,31,16,2,0.51,0.00,4.00
8900,Uttar Pradesh,Sultanpur,Block Offc.,81.9936,26.3377,2023,7.79,801,0,403,14,0.72,37,0,0.00,300,48,43,43,4,0.07,0.00,19.00
8901,Uttar Pradesh,Sultanpur,Block Offc.,82.3044,26.0704,2023,7.87,596,0,268,14,0.53,39,9,0.00,260,48,34,13,3,0.27,0.00,9.00
8902,Uttar Pradesh,Unnao,Block Hq,80.8300,26.5873,2023,7.45,1284,0,281,170,0.36,231,0,0.00,565,168,35,55,5,0.00,0.00,0.00
8903,Uttar Pradesh,Unnao,Darsawa,80.7894,26.5542,2023,8.02,428,0,232,11,1.12,23,0,0.00,195,48,18,11,4,1.21,0.00,13.96
8904,Uttar Pradesh,Unnao,Bada Dev,80.5844,26.8697,2023,7.88,793,0,476,14,0.56,10,0,0.00,295,56,37,63,6,0.37,0.00,3.39
8905,Uttar Pradesh,Unnao,Hand Pump Hp Of Block Office Near,80.5021,26.9146,2023,7.81,883,0,403,53,0.68,68,0,0.00,270,44,38,99,4,0.33,0.00,10.00
8906,Uttar Pradesh,Unnao,Block Office,80.3121,26.8488,2023,7.82,578,0,305,11,0.35,14,12,0.00,195,68,6,34,4,0.05,0.00,6.00
8907,Uttar Pradesh,Unnao,Block Office,80.6252,26.5353,2023,7.69,768,0,458,28,0.70,7,0,0.00,315,60,40,37,7,0.43,0.00,20.00
8908,Uttar Pradesh,Unnao,Block Office,80.6653,26.3522,2023,7.74,710,0,415,7,1.53,0,0,0.00,275,40,42,45,5,0.00,0.00,18.00
8909,Uttar Pradesh,Unnao,Inda Mau,80.7278,26.3242,2023,8.17,915,0,580,14,1.19,6,0,0.00,110,16,17,167,6,0.10,1.36,28.41
8910,Uttar Pradesh,Unnao,Daboli,80.2053,26.7342,2023,7.82,3230,0,543,383,0.90,680,0,0.00,485,112,49,566,39,0.12,0.00,11.10
8911,Uttar Pradesh,Unnao,Block Office Near Phc,80.2717,26.7953,2023,7.72,552,0,183,50,0.39,30,0,0.00,135,48,4,52,3,0.85,1.00,0.00
8912,Uttar Pradesh,Unnao,Block Office,80.1841,26.9595,2023,7.53,1051,0,500,57,0.36,36,29,0.00,360,68,46,70,6,0.09,0.00,8.00
8913,Uttar Pradesh,Unnao,Block Office,80.6314,26.7728,2023,7.80,495,0,281,21,0.27,8,0,0.00,210,52,19,20,3,0.90,0.00,7.00
8914,Uttar Pradesh,Unnao,Hasewan,80.5703,26.7633,2023,7.79,745,0,427,28,0.11,13,0,0.00,325,92,23,25,7,4.97,7.84,0.00
8915,Uttar Pradesh,Unnao,Block Office,80.9411,26.4568,2023,7.63,828,0,464,36,0.28,24,0,0.00,270,60,29,77,6,0.19,0.00,12.00
8916,Uttar Pradesh,Unnao,Block Office,80.4844,26.8022,2023,7.81,565,0,305,21,0.39,12,0,0.00,234,56,23,31,6,1.21,0.00,10.00
8917,Uttar Pradesh,Unnao,Block Office,80.6759,26.6211,2023,7.67,2254,0,732,199,0.53,346,0,0.00,423,80,54,346,8,0.21,0.00,36.00
8918,Uttar Pradesh,Unnao,Hasanapur,80.7842,26.6369,2023,8.07,629,0,336,21,1.15,17,0,0.00,225,24,40,39,3,0.00,0.00,14.09
8919,Uttar Pradesh,Unnao,Hand Pump Infront Of Old Tehsil &,80.7667,26.4600,2023,7.78,835,0,500,21,0.59,9,0,0.00,265,40,40,76,4,0.40,0.00,3.00
8920,Uttar Pradesh,Unnao,Block Office,80.3197,26.6328,2023,7.75,1051,0,329,114,0.85,42,66,0.00,430,96,46,31,6,0.16,0.00,11.00
8921,Uttar Pradesh,Unnao,Block Office,80.5485,26.4407,2023,7.63,723,0,403,36,0.52,0,0,0.00,260,72,19,46,5,4.96,0.00,6.00
8922,Uttar Pradesh,Unnao,In Front Of Block Office Near Turning,80.4513,26.5343,2023,7.73,799,0,470,21,1.02,0,0,0.00,285,56,35,70,4,0.82,0.00,18.00
8923,Uttar Pradesh,Unnao,Block Office,80.8072,26.2817,2023,7.66,980,0,537,28,1.21,36,0,0.00,230,44,29,119,4,2.62,0.00,20.00
8924,Uttar Pradesh,Varanasi,Baragaon,82.8061,25.4297,2023,7.90,920,0,378,57,0.64,54,14,0.00,300,36,50,69,5,0.09,0.00,20.00
8925,Uttar Pradesh,Varanasi,Block Office,83.0558,25.3803,2023,7.84,581,0,293,21,0.48,7,11,0.00,240,52,26,22,2,0.00,0.00,8.00
8926,Uttar Pradesh,Varanasi,Chhitouna,83.1235,25.3684,2023,7.90,896,0,488,43,0.40,0,0,0.00,260,60,26,94,3,4.78,9.90,0.00
8927,Uttar Pradesh,Varanasi,Cholapur,82.9972,25.4967,2023,8.00,887,0,439,28,1.00,30,0,0.00,310,28,58,58,3,0.40,0.00,12.00
8928,Uttar Pradesh,Varanasi,Belwaria,82.9700,25.3997,2023,8.00,540,0,305,7,1.00,0,0,0.00,230,52,24,17,2,0.14,0.00,6.00
8929,Uttar Pradesh,Varanasi,Block Office,82.9700,25.3997,2023,8.03,683,0,403,21,0.59,9,0,0.00,200,44,22,80,2,0.07,0.00,19.00
8930,Uttar Pradesh,Varanasi,Kashividyapeeth,82.9628,25.3064,2023,8.00,1465,0,610,92,0.65,54,55,0.00,460,48,82,105,32,0.15,0.00,6.00
8931,Uttar Pradesh,Varanasi,Sewapuri,82.7481,25.3661,2023,8.07,820,0,451,14,1.05,6,9,0.00,250,36,38,70,3,0.00,0.00,34.00
8932,Uttar Pradesh,Varanasi,Akatha,82.9932,25.3570,2023,7.87,1202,0,500,78,1.20,47,40,0.00,440,48,77,72,4,0.00,1.09,28.81
8933,Uttar Pradesh,Varanasi,Ashok Nagar,83.0093,25.3469,2023,7.91,578,0,329,7,0.50,0,6,0.00,250,56,26,16,3,0.00,0.00,6.86
8934,Uttar Pradesh,Varanasi,Assi,83.0036,25.2873,2023,7.82,776,0,317,57,1.15,36,0,0.00,300,48,43,36,2,0.00,1.17,8.40
8935,Uttar Pradesh,Varanasi,Bhagatpur,82.9639,25.3658,2023,8.00,607,0,372,7,0.42,0,0,0.00,170,40,17,66,3,0.18,0.00,7.79
8936,Uttar Pradesh,Varanasi,Bhu Campus,82.9854,25.2716,2023,8.20,608,0,354,14,0.56,0,0,0.00,240,72,14,31,3,0.00,1.20,4.05
8937,Uttar Pradesh,Varanasi,Dhupchandi,82.9871,25.3467,2023,7.91,1130,0,537,50,0.95,27,16,0.00,230,36,34,149,2,0.00,1.20,13.43
8938,Uttar Pradesh,Varanasi,Gilat Bazar,82.9681,25.3503,2023,7.84,927,0,451,71,0.30,0,19,0.00,280,52,36,93,4,0.00,1.43,8.56
8939,Uttar Pradesh,Varanasi,Gopichat Gully,82.9879,25.2878,2023,7.66,1425,0,549,106,1.35,74,54,0.00,380,56,58,155,3,0.00,0.00,20.82
8940,Uttar Pradesh,Varanasi,Jaitpura,83.0058,25.3271,2023,7.82,1328,0,378,156,0.80,106,17,0.00,460,76,65,86,8,0.44,0.00,23.04
8941,Uttar Pradesh,Varanasi,Konia,83.0319,25.3282,2023,7.84,1035,0,378,92,0.60,35,42,0.00,400,64,58,47,7,0.14,0.00,10.33
8942,Uttar Pradesh,Varanasi,Nai Sarak,83.0048,25.3121,2023,8.07,765,0,293,71,0.70,37,0,0.00,250,48,31,58,5,0.00,2.50,3.56
8943,Uttar Pradesh,Varanasi,Nanak Nagar,82.9899,25.3169,2023,7.85,840,0,366,50,0.95,39,0,0.00,300,40,48,51,2,0.33,0.00,21.04
8944,Uttar Pradesh,Varanasi,Shivpur,82.9456,25.3644,2023,7.87,578,0,305,28,0.22,0,10,0.00,240,56,24,28,3,0.00,1.03,6.72
8945,Uttar Pradesh,Varanasi,Singra,82.9835,25.3075,2023,7.60,778,0,305,57,0.64,42,14,0.00,270,56,31,53,4,0.00,0.00,6.88
8946,Uttar Pradesh,Varanasi,Srinagar Colony,82.0056,25.3669,2023,7.79,558,0,268,21,0.90,10,15,0.00,240,52,26,16,2,0.00,0.00,5.42
